,References_id
0,BCORL1,63035,"['BCORL1', 'BCoR-L1', 'CXorf10']",5454
0,BCORL1,63035,"['BCORL1', 'BCoR-L1', 'CXorf10']",5455
0,BCORL1,63035,"['BCORL1', 'BCoR-L1', 'CXorf10']",5456
0,KMT2A,4297,"['KMT2A', 'ALL-1', 'CXXC7', 'HRX', 'HTRX1', 'MLL', 'MLL1', 'MLL1A', 'TRX1', 'WDSTS']",5468
0,KMT2A,4297,"['KMT2A', 'ALL-1', 'CXXC7', 'HRX', 'HTRX1', 'MLL', 'MLL1', 'MLL1A', 'TRX1', 'WDSTS']",5469
0,TET2,54790,"['TET2', 'KIAA1546', 'MDS']",5475
0,TET2,54790,"['TET2', 'KIAA1546', 'MDS']",5476
0,PHF6,84295,"['PHF6', 'BFLS', 'BORJ', 'CENP-31']",5543
0,PHF6,84295,"['PHF6', 'BFLS', 'BORJ', 'CENP-31']",5544
0,ZRSR2,8233,"['ZRSR2', 'U2AF1-RS2', 'U2AF1L2', 'U2AF1RS2', 'URP', 'ZC3H22']",5584
0,ZRSR2,8233,"['ZRSR2', 'U2AF1-RS2', 'U2AF1L2', 'U2AF1RS2', 'URP', 'ZC3H22']",5585
0,ZRSR2,8233,"['ZRSR2', 'U2AF1-RS2', 'U2AF1L2', 'U2AF1RS2', 'URP', 'ZC3H22']",5586
0,CBLC,23624,"['CBLC', 'CBL-3', 'CBL-SL', 'RNF57']",5589
0,CBLC,23624,"['CBLC', 'CBL-3', 'CBL-SL', 'RNF57']",5590
0,RAD21,5885,"['RAD21', 'CDLS4', 'hHR21', 'HR21', 'HRAD21', 'MCD1', 'NXP1', 'SCC1']",5641
0,RAD21,5885,"['RAD21', 'CDLS4', 'hHR21', 'HR21', 'HRAD21', 'MCD1', 'NXP1', 'SCC1']",5642
0,RAD21,5885,"['RAD21', 'CDLS4', 'hHR21', 'HR21', 'HRAD21', 'MCD1', 'NXP1', 'SCC1']",5643
0,TP53,7157,"['TP53', 'BCC7', 'LFS1', 'P53', 'TRP53']",5884
0,TP53,7157,"['TP53', 'BCC7', 'LFS1', 'P53', 'TRP53']",5885
0,TP53,7157,"['TP53', 'BCC7', 'LFS1', 'P53', 'TRP53']",5886
0,GNAS,2778,"['GNAS', 'AHO', 'C20orf45', 'GNAS1', 'GPSA', 'GSA', 'GSP', 'NESP', 'PITA3', 'POH', 'SCG6', 'SgVI']",6283
0,APC,324,"['APC', 'BTPS2', 'DP2', 'DP2.5', 'DP3', 'GS', 'PPP1R46']",6299
1,ATM,472,"['ATM', 'AT1', 'ATA', 'ATC', 'ATD', 'ATDC', 'ATE', 'TEL1', 'TELO1']",6299
2,BRCA1,672,"['BRCA1', 'BRCAI', 'BRCC1', 'BROVCA1', 'FANCS', 'IRIS', 'PNCA4', 'PPP1R53', 'PSCP', 'RNF53']",6299
3,BRCA2,675,"['BRCA2', 'BRCC2', 'BROVCA2', 'FACD', 'FAD', 'FAD1', 'FANCD', 'FANCD1', 'GLM3', 'PNCA2', 'XRCC11']",6299
4,CDH1,999,"['CDH1', 'Arc-1', 'BCDS1', 'CD324', 'CDHE', 'ECAD', 'LCAM', 'UVO']",6299
5,CDKN2A,1029,"['CDKN2A', 'ARF', 'CDK4I', 'CDKN2', 'CMM2', 'INK4', 'INK4A', 'MLM', 'MTS-1', 'MTS1', 'P14', 'P14ARF', 'P16', 'P16-INK4A', 'P16INK4', 'P16INK4A', 'P19', 'P19ARF', 'TP16']",6299
0,ETV6,2120,"['ETV6', 'TEL', 'TEL/ABL', 'THC5']",6331
0,GNA11,2767,"['GNA11', 'FBH', 'FBH2', 'FHH2', 'GNA-11', 'HHC2', 'HYPOC2']",8754
1,GNAQ,2776,"['GNAQ', 'CMC1', 'G-ALPHA-q', 'GAQ', 'SWS']",8754
0,PTEN,5728,"['PTEN', '10q23del', 'BZS', 'CWS1', 'DEC', 'GLM2', 'MHAM', 'MMAC1', 'PTEN1', 'PTENbeta', 'TEP1']",8789
0,AKT1,207,"['AKT1', 'AKT', 'CWS6', 'PKB', 'PKB-ALPHA', 'PRKBA', 'RAC', 'RAC-ALPHA']",9003
0,MLH1,4292,"['MLH1', 'COCA2', 'FCC2', 'hMLH1', 'HNPCC', 'HNPCC2']",9237
0,FOXL2,668,"['FOXL2', 'BPES', 'BPES1', 'PFRK', 'PINTO', 'POF3']",9321
0,STAG2,10735,"['STAG2', 'bA517O1.1', 'SA-2', 'SA2', 'SCC3B']",9637
0,ABL1,25,"['ABL1', 'ABL', 'bcr/abl', 'c-ABL', 'c-ABL1', 'CHDSKM', 'JTK7', 'p150', 'v-abl']",9801
0,MET,4233,"['MET', 'AUTS9', 'c-Met', 'DFNB97', 'HGFR', 'RCCP2']",9803
0,MPL,4352,"['MPL', 'C-MPL', 'CD110', 'MPLV', 'THCYT2', 'TPOR']",9804
0,MYD88,4615,"['MYD88', 'MYD88D']",9813
0,STK11,6794,"['STK11', 'hLKB1', 'LKB1', 'PJS']",9855
0,STK11,6794,"['STK11', 'hLKB1', 'LKB1', 'PJS']",9856
0,FBXW7,55294,"['FBXW7', 'AGO', 'CDC4', 'FBW6', 'FBW7', 'FBX30', 'FBXO30', 'FBXW6', 'hAgo', 'hCdc4', 'SEL-10', 'SEL10']",9937
